image,text
000_fool.jpg,The Fool
001_magician.jpg,The Magician
002_highpriestess.jpg,The High Priestess
003_empress.jpg,The Empress
004_emperor.jpg,The Emperor
005_hierophant.jpg,The Hierophant
006_lovers.jpg,The Lovers
007_chariot.jpg,The Chariot
008_strength.jpg,Strength
009_hermit.jpg,The Hermit
010_wheeloffortune.jpg,Wheel of Fortune
011_justice.jpg,Justice
012_hangedman.jpg,The Hanged Man
013_death.jpg,Death
014_temperance.jpg,Temperance
015_devil.jpg,The Devil
016_tower.jpg,The Tower
017_star.jpg,The Star
018_moon.jpg,The Moon
019_sun.jpg,The Sun
020_judgement.jpg,Judgement
021_world.jpg,The World
101_cups_ace.jpg,Ace of Cups
102_cups_two.jpg,Two of Cups
103_cups_three.jpg,Three of Cups
104_cups_four.jpg,Four of Cups
105_cups_five.jpg,Five of Cups
106_cups_six.jpg,Six of Cups
107_cups_seven.jpg,Seven of Cups
108_cups_eight.jpg,Eight of Cups
109_cups_nine.jpg,Nine of Cups
110_cups_ten.jpg,Ten of Cups
111_cups_page.jpg,Page of Cups
112_cups_knight.jpg,Knight of Cups
113_cups_queen.jpg,Queen of Cups
114_cups_king.jpg,King of Cups
201_coins_ace.jpg,Ace of Coins
202_coins_two.jpg,Two of Coins
203_coins_three.jpg,Three of Coins
204_coins_four.jpg,Four of Coins
205_coins_five.jpg,Five of Coins
206_coins_six.jpg,Six of Coins
207_coins_seven.jpg,Seven of Coins
208_coins_eight.jpg,Eight of Coins
209_coins_nine.jpg,Nine of Coins
210_coins_ten.jpg,Ten of Coins
211_coins_page.jpg,Page of Coins
212_coins_knight.jpg,Knight of Coins
213_coins_queen.jpg,Queen of Coins
214_coins_king.jpg,King of Coins
301_swords_ace.jpg,Ace of Swords
302_swords_two.jpg,Two of Swords
303_swords_three.jpg,Three of Swords
304_swords_four.jpg,Four of Swords
305_swords_five.jpg,Five of Swords
306_swords_six.jpg,Six of Swords
307_swords_seven.jpg,Seven of Swords
308_swords_eight.jpg,Eight of Swords
309_swords_nine.jpg,Nine of Swords
310_swords_ten.jpg,Ten of Swords
311_swords_page.jpg,Page of Swords
312_swords_knight.jpg,Knight of Swords
313_swords_queen.jpg,Queen of Swords
314_swords_king.jpg,King of Swords
401_wands_ace.jpg,Ace of Wands
402_wands_two.jpg,Two of Wands
403_wands_three.jpg,Three of Wands
404_wands_four.jpg,Four of Wands
405_wands_five.jpg,Five of Wands
406_wands_six.jpg,Six of Wands
407_wands_seven.jpg,Seven of Wands
408_wands_eight.jpg,Eight of Wands
409_wands_nine.jpg,Nine of Wands
410_wands_ten.jpg,Ten of Wands
411_wands_page.jpg,Page of Wands
412_wands_knight.jpg,Knight of Wands
413_wands_queen.jpg,Queen of Wands
414_wands_king.jpg,King of Wands
